Time,Latitude,Longitude,Altitude,Pressure,Temperature,Acceleration,Acceleration (x),Acceleration (y),Acceleration (z),,Velocity(z)
0.573252,-71,40,202.8586051,98912,23.3,1.092728695,0.054,0.086,1.088,,
0.575344,-71,40,202.8586051,98903,23.4,1.097127613,0.059,0.088,1.092,,
0.578608,-71,40,203.1132944,98905,23.3,1.09917469,0.057,0.09,1.094,,
0.582234,-71,40,202.4341368,98908,23.3,1.094116539,0.057,0.089,1.089,,
0.586328,-71,40,202.8586051,98903,23.3,1.096491678,0.058,0.093,1.091,,
0.591784,-71,40,203.4528898,98915,23.4,1.097102548,0.057,0.089,1.092,,
0.593826,-71,40,203.3679899,98912,23.3,1.091226833,0.054,0.092,1.086,,
0.595867,-71,40,203.3679899,98906,23.3,1.095844423,0.055,0.087,1.091,,
0.597822,-71,40,203.6226917,98909,23.3,1.110204936,0.057,0.091,1.105,,
0.599557,-71,40,203.8773997,98908,23.3,1.094281043,0.057,0.091,1.089,,
0.601563,-71,40,203.1132944,98909,23.4,1.093197146,0.05,0.094,1.088,,
0.603373,-71,40,202.603922,98917,23.4,1.097266604,0.057,0.091,1.092,,
0.607218,-71,40,203.6226917,98903,23.3,1.094387043,0.059,0.091,1.089,,
0.61107,-71,40,203.8773997,98905,23.3,1.09503105,0.057,0.088,1.09,,
0.613104,-71,40,203.6226917,98911,23.3,1.089838061,0.051,0.089,1.085,,
0.615107,-71,40,203.1132944,98912,23.4,1.100052271,0.053,0.091,1.095,,
0.616952,-71,40,203.1132944,98906,23.3,1.100477169,0.053,0.096,1.095,,
0.618702,-71,40,203.3679899,98920,23.4,1.09519359,0.057,0.09,1.09,,
0.62073,-71,40,202.4341368,98917,23.4,1.096055656,0.056,0.089,1.091,,
0.622496,-71,40,202.4341368,98918,23.4,1.09495114,0.057,0.087,1.09,,
0.624339,-71,40,203.1132944,98918,23.4,1.097966757,0.051,0.091,1.093,,
0.628107,-71,40,202.3492453,98912,23.4,1.090503095,0.056,0.094,1.085,,
0.631504,-71,40,203.1132944,98914,23.4,1.094262309,0.055,0.092,1.089,,
0.635617,-71,40,202.9435008,98915,23.4,1.089922016,0.056,0.087,1.085,,
0.639937,-71,40,202.6888157,98915,23.4,1.096472982,0.056,0.094,1.091,,
0.643576,-71,40,203.8773997,98908,23.4,1.092919942,0.053,0.089,1.088,,
0.647378,-71,40,202.8586051,98902,23.4,1.098013661,0.052,0.091,1.093,,
0.651104,-71,40,203.1132944,98903,23.4,1.099748153,0.05,0.089,1.095,,
0.654704,-71,40,201.3306007,98914,23.4,1.097884329,0.051,0.09,1.093,,
0.658507,-71,40,202.603922,98909,23.4,1.090332518,0.056,0.092,1.085,,
0.662034,-71,40,202.6888157,98903,23.4,1.098412491,0.055,0.094,1.093,,
0.665508,-71,40,202.6888157,98917,23.4,1.09694576,0.06,0.097,1.091,,
0.669351,-71,40,203.3679899,98903,23.4,1.104855194,0.056,0.087,1.1,,
0.673024,-71,40,203.6226917,98918,23.4,1.092459153,0.057,0.093,1.087,,
0.677923,-71,40,202.603922,98902,23.3,1.091262572,0.053,0.093,1.086,,
0.681782,-71,40,203.1132944,98915,23.4,1.097884329,0.051,0.09,1.093,,
0.685332,-71,40,203.4528898,98911,23.4,1.09541499,0.053,0.095,1.09,,
0.690498,-71,40,202.9435008,98908,23.4,1.092697579,0.05,0.088,1.088,,
0.69419,-71,40,202.4341368,98918,23.3,1.102943335,0.056,0.088,1.098,,
0.69769,-71,40,203.8773997,98906,23.4,1.095392624,0.056,0.093,1.09,,
0.70146,-71,40,203.3679899,98900,23.4,1.091924448,0.053,0.089,1.087,,
0.705003,-71,40,202.9435008,98918,23.4,1.093997258,0.053,0.09,1.089,,
0.708531,-71,40,202.6888157,98908,23.4,1.097102548,0.057,0.089,1.092,,
0.712475,-71,40,203.7075937,98906,23.4,1.096070709,0.053,0.091,1.091,,
0.716274,-71,40,203.1132944,98914,23.4,1.094248144,0.053,0.093,1.089,,
0.718335,-71,40,202.6888157,98911,23.4,1.09509132,0.055,0.09,1.09,,
0.720263,-71,40,202.8586051,98906,23.4,1.102079398,0.057,0.089,1.097,,
0.722275,-71,40,203.6226917,98911,23.4,1.09321727,0.054,0.092,1.088,,
0.726104,-71,40,203.1132944,98914,23.4,1.099458048,0.056,0.094,1.094,,
0.72975,-71,40,202.3492453,98908,23.4,1.095730806,0.051,0.088,1.091,,
0.733721,-71,40,202.8586051,98915,23.4,1.093402488,0.056,0.093,1.088,,
0.737623,-71,40,203.4528898,98914,23.4,1.095124194,0.054,0.091,1.09,,
0.74118,-71,40,203.4528898,98906,23.4,1.091942306,0.055,0.088,1.087,,
0.74468,-71,40,202.8586051,98896,23.4,1.098127952,0.056,0.09,1.093,,
0.748483,-71,40,203.1981922,98914,23.4,1.093151408,0.056,0.09,1.088,,
0.750569,-71,40,202.4341368,98921,23.4,1.095110953,0.052,0.092,1.09,,
0.752588,-71,40,202.8586051,98914,23.4,1.091876367,0.052,0.089,1.087,,
0.755414,-71,40,202.3492453,98919,23.4,1.094212502,0.054,0.092,1.089,,
0.759111,-71,40,203.1981922,98918,23.4,1.093120304,0.052,0.092,1.088,,
0.762878,-71,40,204.3019271,98905,23.4,1.091348249,0.058,0.091,1.086,,
0.766805,-71,40,203.6226917,98906,23.4,1.097051047,0.056,0.089,1.092,,
0.770426,-71,40,203.6226917,98912,23.4,1.096840007,0.055,0.087,1.092,,
0.774285,-71,40,203.6226917,98900,23.4,1.093997258,0.053,0.09,1.089,,
0.777891,-71,40,203.6226917,98902,23.4,1.097164527,0.055,0.091,1.092,,
0.781632,-71,40,202.9435008,98909,23.4,1.097032361,0.054,0.09,1.092,,
0.783734,-71,40,202.8586051,98899,23.4,1.095292198,0.054,0.093,1.09,,
0.785521,-71,40,203.7075937,98902,23.4,1.095940236,0.052,0.09,1.091,,
0.789559,-71,40,203.9623038,98906,23.4,1.096241306,0.058,0.09,1.091,,
0.793161,-71,40,203.1132944,98908,23.4,1.098314163,0.053,0.094,1.093,,
0.796974,-71,40,203.7075937,98905,23.4,1.093369562,0.057,0.092,1.088,,
0.800808,-71,40,202.8586051,98911,23.4,1.094068554,0.051,0.092,1.089,,
0.804495,-71,40,203.3679899,98899,23.4,1.096190677,0.052,0.093,1.091,,
0.808082,-71,40,202.4341368,98919,23.4,1.096169239,0.055,0.091,1.091,,
0.812024,-71,40,203.8773997,98906,23.4,1.098277743,0.054,0.093,1.093,,
0.81586,-71,40,203.9623038,98917,23.4,1.096005018,0.055,0.089,1.091,,
0.817973,-71,40,203.1132944,98906,23.4,1.095359758,0.057,0.092,1.09,,
0.821802,-71,40,203.1981922,98914,23.4,1.099041855,0.056,0.089,1.094,,
0.825284,-71,40,202.9435008,98905,23.4,1.100329496,0.06,0.09,1.095,,
0.829362,-71,40,204.2170202,98906,23.4,1.096202992,0.054,0.092,1.091,,
0.833228,-71,40,203.8773997,98912,23.4,1.091833779,0.056,0.086,1.087,,
0.836951,-71,40,202.6888157,98918,23.4,1.097657961,0.058,0.095,1.092,,
0.840797,-71,40,202.6888157,98903,23.4,1.095292198,0.054,0.093,1.09,,
0.84454,-71,40,202.4341368,98906,23.4,1.101382767,0.058,0.092,1.096,,
0.84817,-71,40,202.9435008,98895,23.4,1.09566692,0.053,0.086,1.091,,
0.852092,-71,40,203.6226917,98914,23.4,1.100088633,0.057,0.089,1.095,,
0.854235,-71,40,204.1321141,98909,23.4,1.095858568,0.052,0.089,1.091,,
0.856082,-71,40,203.3679899,98908,23.4,1.095009589,0.055,0.089,1.09,,
0.858137,-71,40,203.7075937,98905,23.4,1.093146376,0.059,0.088,1.088,,
0.86001,-71,40,202.9435008,98919,23.4,1.093422151,0.058,0.092,1.088,,
